공고일자,공고명,연도,수요기관,업무구분,품목대분류,유찰,응찰수,무응찰,입찰진행상태값,공고상태값,제조물품제한여부,긴급공고여부
20240227,장병 보안교육용 콘텐츠 제작용역,2024,국군제1068부대,일반용역,,False,5.0,False,낙찰자선정,변경공고,,N
20240220,(24G039-A) 호국전몰용사 공훈록 작성용역,2024,국방부 국군재정관리단,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240220,군 정보수사기관의 대인지전 수행방안 연구용역,2024,국군제1068부대,일반용역,,True,0.0,True,유찰,등록공고,,N
20240220,24-N-소해함 음탐기 모의장비형 CBT 성능개선,2024,국방부 국군재정관리단,일반용역,,False,3.0,False,개찰완료,등록공고,,Y
20240221,24-N-문화공연 대행 용역,2024,국방부 국군재정관리단,일반용역,,False,2.0,False,개찰완료,등록공고,,Y
20240222,24-M-PALS SEOUL 2024 대행용역,2024,국방부 국군재정관리단,일반용역,,False,2.0,False,개찰완료,등록공고,,Y
20240223,(24F043-B) 24년 육군 모범간부 제주도 견학 용역,2024,육군 인사사령부,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240327,24년 성층권비행체 개발동향 및 해상운용 개념연구,2024,해군본부,일반용역,,False,3.0,False,낙찰자선정,변경공고,,Y
20240223,24년 6.25전쟁 이후 주요 해전 증언록Ⅱ 연구용역,2024,해군본부,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240223,24년 장지수 제독 평전 연구용역,2024,해군본부,일반용역,,True,0.0,True,유찰,등록공고,,N
20240228,24년 GOP과학화 경계시스템 외주정비 용역(동부),2024,국방부 국군조직 육군 군지사 제1군수지원사령부,일반용역,,False,4.0,False,낙찰자선정,등록공고,,Y
20240228,24년 GOP과학화 경계시스템 외주정비 용역(중서부),2024,국방부 국군조직 육군 군지사 제1군수지원사령부,일반용역,,False,5.0,False,낙찰자선정,등록공고,,Y
20240228,24-F-공군 창군 75주년 기념 정기음악회 대행용역,2024,국방부 국군재정관리단,일반용역,,False,2.0,False,개찰완료,등록공고,,Y
20240229,24-N- 0함대 해상근무자 정신전력 집체교육 용역,2024,국방부 국군재정관리단,일반용역,,False,3.0,False,개찰완료,등록공고,,Y
20240229,24년 함정 설계·건조시 최신 국제해양협약 적용 가능성 방안 연구용역,2024,해군본부,일반용역,,True,0.0,True,유찰,등록공고,,N
20240229,24년 무인함정 설계/건조 활용을 위한 시뮬레이션 기반 성능확인 기법 연구용역,2024,해군본부,일반용역,,False,2.0,False,낙찰자선정,등록공고,,Y
